Problems  & $(n_t, \tau_t)$ &DNSGAIIA &DNSGAIIB &RND &MOEADKF &NHSS\\
&$(10,5)$ &1.558e+0(1.639e-1)$\ddagger$ &1.479e+0(1.409e-1)$\ddagger$ &5.954e+0(8.351e-1)$\ddagger$ &2.061e+0(8.144e-1)$\ddagger$ &4.769e+0(3.957e-1)$\ddagger$ \\
&$(10,10)$ &7.298e-1(3.204e-1)$\ddagger$ &6.478e-1(2.607e-1)$\ddagger$ &2.442e+0(3.810e-1)$\ddagger$ &1.104e+0(5.541e-1)$\ddagger$ &1.518e+0(2.758e-1)$\ddagger$ \\
&$(10,20)$ &3.317e-1(1.075e-1)$\ddagger$ &3.374e-1(7.806e-2)$\ddagger$ &1.835e+0(3.387e-1)$\ddagger$ &9.130e-1(3.021e-1)$\ddagger$ &4.791e-1(1.590e-1)$\ddagger$ \\
\hline  \multirow{3}{*}{DF7}
&$(10,5)$ &7.405e-2(8.621e-2)$\ddagger$ &6.054e-2(7.443e-3)$\ddagger$ &2.222e+0(6.902e-2)$\ddagger$ &1.273e-1(6.562e-3)$\ddagger$ &1.563e-1(2.560e-2)$\ddagger$ \\
&$(10,10)$ &2.619e-2(2.131e-3)$\ddagger$ &3.839e-2(1.120e-2)$\ddagger$ &2.078e+0(1.237e-2)$\ddagger$ &1.117e-1(2.965e-3)$\ddagger$ &1.134e-1(3.518e-3)$\ddagger$ \\
&$(10,20)$ &2.046e-2(8.815e-4)$\ddagger$ &3.858e-2(1.146e-2)$\ddagger$ &2.046e+0(1.083e-3)$\ddagger$ &1.068e-1(2.256e-3)$\ddagger$ &1.064e-1(3.659e-3)$\ddagger$ \\
\hline  \multirow{3}{*}{DF8}
&$(10,5)$ &6.188e-2(7.186e-3)$\ddagger$ &8.458e-2(2.181e-3)$\ddagger$ &2.989e-2(4.526e-3)$\ddagger$ &2.657e-2(1.209e-3)$\ddagger$ &2.449e-2(1.057e-3)$\ddagger$ \\
&$(10,10)$ &5.953e-2(2.508e-3)$\ddagger$ &7.459e-2(3.004e-3)$\ddagger$ &1.885e-2(1.380e-3)$\ddagger$ &1.953e-2(1.050e-3)$\ddagger$ &1.920e-2(4.108e-4)$\ddagger$ \\
&$(10,20)$ &5.318e-2(3.297e-3)$\ddagger$ &7.649e-2(5.411e-3)$\ddagger$ &1.630e-2(5.576e-4)$\ddagger$ &1.580e-2(4.263e-4)$\ddagger$ &1.583e-2(1.606e-4)$\ddagger$ \\
\hline  \multirow{3}{*}{DF9}
&$(10,5)$ &1.277e-1(1.982e-2)$\ddagger$ &9.774e-2(2.852e-2)$\ddagger$ &1.314e+0(8.930e-2)$\ddagger$ &4.349e-1(5.679e-2)$\ddagger$ &7.086e-1(1.130e-1)$\ddagger$ \\
&$(10,10)$ &6.052e-2(1.090e-2)$\ddagger$ &4.986e-2(1.069e-2)$\ddagger$ &1.061e+0(7.926e-3)$\ddagger$ &1.510e-1(2.892e-2)$\ddagger$ &2.321e-1(2.830e-2)$\ddagger$ \\
&$(10,20)$ &3.653e-2(2.426e-3)$\ddagger$ &3.984e-2(1.156e-2)$\ddagger$ &1.029e+0(8.517e-4)$\ddagger$ &1.032e-1(4.086e-3)$\ddagger$ &5.626e-2(6.827e-3)$\ddagger$ \\
\hline  \multirow{3}{*}{DF10}
&$(10,5)$ &2.457e-1(1.635e-2)$\ddagger$ &2.834e-1(1.085e-2)$\ddagger$ &1.519e-1(1.264e-2)$\ddagger$ &1.716e-1(5.747e-3)$\ddagger$ &1.597e-1(5.138e-3)$\ddagger$ \\
&$(10,10)$ &2.117e-1(9.947e-3)$\ddagger$ &2.529e-1(1.496e-2)$\ddagger$ &1.338e-1(5.819e-3)$\ddagger$ &1.628e-1(5.449e-3)$\ddagger$ &1.589e-1(4.799e-3)$\ddagger$ \\
&$(10,20)$ &1.913e-1(1.606e-2)$\ddagger$ &2.290e-1(7.104e-3)$\ddagger$ &1.225e-1(5.287e-3)$\ddagger$ &1.530e-1(4.033e-3)$\ddagger$ &1.514e-1(4.602e-3)$\ddagger$ \\
\hline  \multirow{3}{*}{DF11}
&$(10,5)$ &1.431e-1(5.292e-3)$\ddagger$ &5.244e-1(8.759e-3)$\ddagger$ &1.279e-1(6.757e-3)$\ddagger$ &1.213e-1(3.538e-3)$\ddagger$ &1.145e-1(2.127e-3)$\ddagger$ \\
&$(10,10)$ &1.487e-1(5.021e-3)$\ddagger$ &5.361e-1(1.335e-2)$\ddagger$ &1.039e-1(2.254e-3)$\ddagger$ &1.028e-1(1.096e-3)$\ddagger$ &1.022e-1(1.056e-3)$\ddagger$ \\
&$(10,20)$ &1.560e-1(1.066e-2)$\ddagger$ &5.328e-1(1.433e-2)$\ddagger$ &9.589e-2(4.595e-4)$\ddagger$ &9.556e-2(5.035e-4)$\ddagger$ &9.542e-2(4.137e-4)$\ddagger$ \\
\hline  \multirow{3}{*}{DF12}
&$(10,5)$ &3.161e-1(1.514e-2)$\ddagger$ &3.074e-1(1.298e-2)$\ddagger$ &3.214e-1(8.119e-3)$\ddagger$ &3.130e-1(5.340e-3)$\ddagger$ &3.079e-1(4.004e-3)$\ddagger$ \\
&$(10,10)$ &2.923e-1(5.577e-3)$\ddagger$ &2.876e-1(1.445e-2)$\ddagger$ &2.942e-1(2.278e-3)$\ddagger$ &2.891e-1(4.177e-3)$\ddagger$ &2.899e-1(2.216e-3)$\ddagger$ \\
&$(10,20)$ &2.812e-1(5.022e-3)$\ddagger$ &2.828e-1(8.293e-3)$\ddagger$ &2.818e-1(2.952e-3)$\ddagger$ &2.800e-1(3.507e-3)$\ddagger$ &2.817e-1(2.447e-3)$\ddagger$ \\
\hline  \multirow{3}{*}{DF13}
&$(10,5)$ &2.764e-1(2.126e-2)$\ddagger$ &2.644e-1(3.012e-2)$\ddagger$ &2.138e+0(4.558e-2)$\ddagger$ &2.996e-1(8.211e-3)$\ddagger$ &3.339e-1(9.093e-3)$\ddagger$ \\
&$(10,10)$ &2.226e-1(4.011e-3)$\ddagger$ &2.126e-1(5.805e-3)$\ddagger$ &2.054e+0(2.540e-2)$\ddagger$ &2.873e-1(3.487e-3)$\ddagger$ &2.906e-1(2.353e-3)$\ddagger$ \\
&$(10,20)$ &1.986e-1(3.440e-3)$\ddagger$ &1.914e-1(2.699e-3)$\ddagger$ &1.988e+0(1.591e-2)$\ddagger$ &3.041e-1(2.407e-3)$\ddagger$ &3.006e-1(1.773e-3)$\ddagger$ \\
\hline  \multirow{3}{*}{DF14}
&$(10,5)$ &4.187e-1(4.618e-2)$\ddagger$ &5.972e-1(1.598e-1)$\ddagger$ &8.814e-1(1.770e-2)$\ddagger$ &7.692e-2(1.472e-3)$\ddagger$ &9.607e-2(2.848e-3)$\ddagger$ \\
&$(10,10)$ &3.897e-1(3.944e-2)$\ddagger$ &4.910e-1(1.094e-1)$\ddagger$ &8.360e-1(4.156e-3)$\ddagger$ &6.126e-2(2.122e-4)$\ddagger$ &6.953e-2(6.993e-4)$\ddagger$ \\
&$(10,20)$ &3.507e-1(2.130e-2)$\ddagger$ &4.947e-1(8.674e-2)$\ddagger$ &8.214e-1(2.005e-3)$\ddagger$ &5.766e-2(1.382e-4)$\ddagger$ &6.013e-2(2.628e-4)$\ddagger$ \\
